Data,Tempo,Polveri Grosse,Polveri Fine
2021-05-07 20:21:53.045,0 days 20:21:53,0,0
2021-05-07 20:22:59.025,0 days 20:22:59,0,0
2021-05-07 20:24:05.027,0 days 20:24:05,0,0
2021-05-07 20:25:11.066,0 days 20:25:11,0,0
2021-05-07 20:26:17.093,0 days 20:26:17,0,0
2021-05-07 20:27:23.049,0 days 20:27:23,0,0
2021-05-07 20:28:29.008,0 days 20:28:29,0,0
2021-05-07 20:29:35.033,0 days 20:29:35,0,0
2021-05-07 20:30:41.041,0 days 20:30:41,0,0
2021-05-07 20:31:47.002,0 days 20:31:47,0,0
2021-05-07 20:32:53.006,0 days 20:32:53,0,0
2021-05-07 20:33:59.039,0 days 20:33:59,0,0
2021-05-07 20:35:04.092,0 days 20:35:04,0,0
2021-05-07 20:36:11.031,0 days 20:36:11,0,0
2021-05-07 20:37:17.043,0 days 20:37:17,0,0
2021-05-07 20:38:23.017,0 days 20:38:23,0,0
2021-05-07 20:39:28.086,0 days 20:39:28,0,35
2021-05-07 20:40:35.000,0 days 20:40:35,0,0
2021-05-07 20:41:40.052,0 days 20:41:40,0,0
2021-05-07 20:42:46.067,0 days 20:42:46,0,0
2021-05-07 20:43:52.088,0 days 20:43:52,0,0
2021-05-07 20:44:58.040,0 days 20:44:58,0,0
2021-05-07 20:46:04.054,0 days 20:46:04,0,0
2021-05-07 20:47:10.053,0 days 20:47:10,0,0
2021-05-07 20:48:17.019,0 days 20:48:17,0,0
2021-05-07 20:49:22.079,0 days 20:49:22,0,0
2021-05-07 20:50:28.033,0 days 20:50:28,0,0
2021-05-07 20:51:34.065,0 days 20:51:34,0,0
2021-05-07 20:52:40.031,0 days 20:52:40,0,0
2021-05-07 20:53:46.053,0 days 20:53:46,0,0
2021-05-07 20:54:52.012,0 days 20:54:52,0,0
2021-05-07 20:55:58.037,0 days 20:55:58,0,0
2021-05-07 20:57:03.088,0 days 20:57:03,0,0
2021-05-07 20:58:10.028,0 days 20:58:10,0,0
2021-05-07 20:59:16.068,0 days 20:59:16,0,0
2021-05-07 21:00:22.005,0 days 21:00:22,0,0
2021-05-07 21:01:27.067,0 days 21:01:27,0,0
2021-05-07 21:02:33.081,0 days 21:02:33,0,0
2021-05-07 21:03:40.002,0 days 21:03:40,0,0
2021-05-07 21:04:46.017,0 days 21:04:46,0,0
2021-05-07 21:05:51.069,0 days 21:05:51,0,0
2021-05-07 21:06:57.095,0 days 21:06:57,0,0
2021-05-07 21:08:03.061,0 days 21:08:03,0,0
2021-05-07 21:09:09.025,0 days 21:09:09,0,0
2021-05-07 21:10:16.003,0 days 21:10:16,0,0
2021-05-07 21:11:21.068,0 days 21:11:21,0,0
2021-05-07 21:12:27.020,0 days 21:12:27,0,0
2021-05-07 21:13:33.044,0 days 21:13:33,0,0
2021-05-07 21:14:39.066,0 days 21:14:39,0,0
2021-05-07 21:15:45.024,0 days 21:15:45,0,0
2021-05-07 21:16:51.037,0 days 21:16:51,0,0
2021-05-07 21:17:56.096,0 days 21:17:56,0,0
2021-05-07 21:19:03.005,0 days 21:19:03,0,0
2021-05-07 21:20:09.042,0 days 21:20:09,0,35
2021-05-07 21:21:15.068,0 days 21:21:15,0,0
2021-05-07 21:22:20.095,0 days 21:22:20,0,0
2021-05-07 21:23:27.029,0 days 21:23:27,0,35
2021-05-07 21:24:32.080,0 days 21:24:32,0,0
2021-05-07 21:25:39.013,0 days 21:25:39,0,0
